[2026-07-31T13:22:53Z] audio_dialect_qasr progress=not_started_yet (no state file at Runs/dialect_scan_badrex_mms300m_lev08_text_candidates_qasr_only/progress_latest.json)
[2026-07-31T13:24:53.898822Z] audio_dialect_qasr progress=0.4904% completed=600/None rows_per_sec=None eta=None errors=0 current_uid=processed_qasr_segments__train__shard_000002.arrow__efbe7bfb96__clean.parquet:row=1989
[2026-07-31T13:26:53.945630Z] audio_dialect_qasr progress=2.1251% completed=2600/None rows_per_sec=None eta=None errors=0 current_uid=processed_qasr_segments__train__shard_000008.arrow__41601aba3b__clean.parquet:row=2136
[2026-07-31T13:28:53.995733Z] audio_dialect_qasr progress=4.2502% completed=5200/None rows_per_sec=None eta=None errors=0 current_uid=processed_qasr_segments__train__shard_000015.arrow__c25c1b4a42__clean.parquet:row=272
[2026-07-31T13:30:54.050428Z] audio_dialect_qasr progress=6.5387% completed=8000/None rows_per_sec=None eta=None errors=0 current_uid=processed_qasr_segments__train__shard_000025.arrow__81295bad0f__clean.parquet:row=1017
[2026-07-31T13:32:54.098881Z] audio_dialect_qasr progress=8.8273% completed=10800/None rows_per_sec=None eta=None errors=0 current_uid=processed_qasr_segments__train__shard_000035.arrow__2cfcbe2d4f__clean.parquet:row=347
[2026-07-31T13:35:57.294150Z] audio_dialect_qasr progress=12.587% completed=15400/122348 rows_per_sec=19.87 eta=89.7min errors=0 current_uid=processed_qasr_segments__train__shard_000050.arrow__8b67faa816__clean.parquet:row=1324
[2026-07-31T13:37:57.346019Z] audio_dialect_qasr progress=14.8756% completed=18200/122348 rows_per_sec=20.45 eta=84.9min errors=0 current_uid=processed_qasr_segments__train__shard_000059.arrow__9d7d6797f3__clean.parquet:row=1140
[2026-07-31T13:39:57.398549Z] audio_dialect_qasr progress=17.3276% completed=21200/122348 rows_per_sec=20.82 eta=81.0min errors=0 current_uid=processed_qasr_segments__train__shard_000071.arrow__dc2ce20c6f__clean.parquet:row=3672
[2026-07-31T13:41:57.461557Z] audio_dialect_qasr progress=19.7796% completed=24200/122348 rows_per_sec=21.26 eta=76.9min errors=0 current_uid=processed_qasr_segments__train__shard_000081.arrow__508bb71752__clean.parquet:row=3259
[2026-07-31T13:43:57.511911Z] audio_dialect_qasr progress=21.9047% completed=26800/122348 rows_per_sec=21.37 eta=74.5min errors=0 current_uid=processed_qasr_segments__train__shard_000092.arrow__cd1cd73d19__clean.parquet:row=1159
[2026-07-31T13:45:57.559697Z] audio_dialect_qasr progress=24.3568% completed=29800/122348 rows_per_sec=21.6 eta=71.4min errors=0 current_uid=processed_qasr_segments__train__shard_000103.arrow__2df2ef4733__clean.parquet:row=2938
[2026-07-31T13:47:57.612618Z] audio_dialect_qasr progress=26.4818% completed=32400/122348 rows_per_sec=21.7 eta=69.1min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000005.arrow__5a14152b9d__clean.parquet:row=169
[2026-07-31T13:49:57.672689Z] audio_dialect_qasr progress=28.9339% completed=35400/122348 rows_per_sec=21.96 eta=66.0min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000014.arrow__1f49dc9387__clean.parquet:row=1383
[2026-07-31T13:51:57.721375Z] audio_dialect_qasr progress=31.8763% completed=39000/122348 rows_per_sec=22.45 eta=61.9min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000023.arrow__ee6e347a61__clean.parquet:row=3096
[2026-07-31T13:53:57.771036Z] audio_dialect_qasr progress=34.8187% completed=42600/122348 rows_per_sec=22.94 eta=57.9min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000035.arrow__85a9d2342a__clean.parquet:row=3487
[2026-07-31T13:55:57.821729Z] audio_dialect_qasr progress=37.2707% completed=45600/122348 rows_per_sec=23.05 eta=55.5min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000047.arrow__1ea6360065__clean.parquet:row=1110
[2026-07-31T13:57:57.873251Z] audio_dialect_qasr progress=39.8862% completed=48800/122348 rows_per_sec=23.27 eta=52.7min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000057.arrow__408ab86aff__clean.parquet:row=2777
[2026-07-31T13:59:57.925525Z] audio_dialect_qasr progress=42.5017% completed=52000/122348 rows_per_sec=23.43 eta=50.0min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000067.arrow__1a3f7e9448__clean.parquet:row=963
[2026-07-31T14:01:57.976870Z] audio_dialect_qasr progress=44.9537% completed=55000/122348 rows_per_sec=23.54 eta=47.7min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000077.arrow__08741248b6__clean.parquet:row=3221
[2026-07-31T14:03:58.026977Z] audio_dialect_qasr progress=47.2423% completed=57800/122348 rows_per_sec=23.53 eta=45.7min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000089.arrow__d87f5a60ac__clean.parquet:row=75
[2026-07-31T14:05:58.080189Z] audio_dialect_qasr progress=49.6943% completed=60800/122348 rows_per_sec=23.62 eta=43.4min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000098.arrow__665fa70e0b__clean.parquet:row=3079
[2026-07-31T14:07:58.133591Z] audio_dialect_qasr progress=52.3098% completed=64000/122348 rows_per_sec=23.75 eta=40.9min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000108.arrow__eb4924e5c9__clean.parquet:row=1359
[2026-07-31T14:09:58.190275Z] audio_dialect_qasr progress=55.2522% completed=67600/122348 rows_per_sec=23.99 eta=38.0min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000119.arrow__1cfe739032__clean.parquet:row=2708
[2026-07-31T14:11:58.246293Z] audio_dialect_qasr progress=58.0312% completed=71000/122348 rows_per_sec=24.17 eta=35.4min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000131.arrow__8a87bba925__clean.parquet:row=1951
[2026-07-31T14:13:58.295537Z] audio_dialect_qasr progress=60.8101% completed=74400/122348 rows_per_sec=24.33 eta=32.8min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000144.arrow__ac4035e438__clean.parquet:row=564
[2026-07-31T14:15:58.349563Z] audio_dialect_qasr progress=63.916% completed=78200/122348 rows_per_sec=24.62 eta=29.9min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000154.arrow__c0b429facf__clean.parquet:row=681
[2026-07-31T14:17:58.413688Z] audio_dialect_qasr progress=66.8585% completed=81800/122348 rows_per_sec=24.8 eta=27.2min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000166.arrow__2e9012f9b1__clean.parquet:row=193
[2026-07-31T14:19:58.463084Z] audio_dialect_qasr progress=69.8009% completed=85400/122348 rows_per_sec=25.01 eta=24.6min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000177.arrow__8f07bbbeec__clean.parquet:row=2542
[2026-07-31T14:21:58.512685Z] audio_dialect_qasr progress=72.7433% completed=89000/122348 rows_per_sec=25.15 eta=22.1min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000190.arrow__0422f50a08__clean.parquet:row=1015
[2026-07-31T14:23:58.583217Z] audio_dialect_qasr progress=75.5223% completed=92400/122348 rows_per_sec=25.27 eta=19.8min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000202.arrow__c251c16a36__clean.parquet:row=817
[2026-07-31T14:25:58.648715Z] audio_dialect_qasr progress=78.3012% completed=95800/122348 rows_per_sec=25.36 eta=17.4min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000215.arrow__f4dddbf32c__clean.parquet:row=443
[2026-07-31T14:27:58.696194Z] audio_dialect_qasr progress=81.7341% completed=100000/122348 rows_per_sec=25.64 eta=14.5min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000224.arrow__8712c04201__clean.parquet:row=681
[2026-07-31T14:29:58.757243Z] audio_dialect_qasr progress=84.6765% completed=103600/122348 rows_per_sec=25.78 eta=12.1min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000235.arrow__e16c7b4d8b__clean.parquet:row=1077
[2026-07-31T14:31:58.812179Z] audio_dialect_qasr progress=87.1285% completed=106600/122348 rows_per_sec=25.76 eta=10.2min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000247.arrow__1171b3d831__clean.parquet:row=3537
[2026-07-31T14:33:58.871271Z] audio_dialect_qasr progress=89.5805% completed=109600/122348 rows_per_sec=25.77 eta=8.2min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000257.arrow__703dfcf148__clean.parquet:row=810
[2026-07-31T14:35:58.921446Z] audio_dialect_qasr progress=92.0326% completed=112600/122348 rows_per_sec=25.73 eta=6.3min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000269.arrow__bbd3c321bb__clean.parquet:row=2957
[2026-07-31T14:37:58.973039Z] audio_dialect_qasr progress=94.8115% completed=116000/122348 rows_per_sec=25.77 eta=4.1min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000280.arrow__c0e7881fa0__clean.parquet:row=2733
[2026-07-31T14:39:59.029779Z] audio_dialect_qasr progress=97.5905% completed=119400/122348 rows_per_sec=25.87 eta=1.9min errors=0 current_uid=processed_qasr_segments_part2__train__shard_000291.arrow__2086f99459__clean.parquet:row=2165
[2026-07-31T14:41:59.082125Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:43:59.130553Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:45:59.206116Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:47:59.255709Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:49:59.327834Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:51:59.387856Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:53:59.450728Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:55:59.511473Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
[2026-07-31T14:57:59.569318Z] audio_dialect_qasr progress=100.0% completed=122348/122348 rows_per_sec=25.89 eta=0.0min errors=0 current_uid=DONE
