block,source,speaker_key,rows_dual_scored,rows_text_total,hours,hours_audio_lev,text_mean_prob,text_full_vote_frac,text_full_vote_lb,audio_mean_prob,audio_vote_frac,audio_vote_lb,combined_prob,combined_vote_lb
train,masc_c,zZtR8YkiIkk,30,41,0.03689997222222223,0.03689997222222223,0.959475330511729,0.8292682926829268,0.6873709004537023,0.9778180340925853,1.0,0.886482908609522,0.9381922814413123,0.6093425551277442
train,masc_c,zgPxPT5llDs,31,56,0.025016666666666663,0.02225,0.979495890678898,0.8214285714285714,0.7015856902425105,0.9139359843346381,0.8709677419354839,0.7114724304561464,0.8951965409993516,0.49915887621009203
train,masc_c,DRZnGvIoxaE,24,35,0.027299999999999998,0.02652777777777778,0.9811752339204153,0.8,0.6410806339053748,0.9070407872398695,0.9583333333333334,0.7975777375115778,0.8899659565954365,0.511311641552737
train,masc_c,JJbWyNwTcpw,25,38,0.03037222222222222,0.026605555555555556,0.9901985263824463,0.7368421052631579,0.5799084979362467,0.8943043995648623,0.88,0.7004380781662651,0.8855388985864651,0.40618999380675014
train,masc_c,XU8hHnrpb4Q,22,36,0.030416666666666665,0.02815,0.9661139737476002,0.6111111111111112,0.4486417029674348,0.9067346424986185,0.9090909090909091,0.7218461934161421,0.8760090085989499,0.3238503054947783
train,masc_c,YpmcfdBo9QM,27,31,0.03348333333333333,0.030549999999999994,0.9605841173066033,0.9032258064516129,0.7509971000182296,0.8949456978847997,0.8888888888888888,0.7194181745602704,0.8596706232400124,0.5402809627951716
train,masc_c,4hD_JLhgGH8,23,68,0.016555583333333332,0.014805583333333332,0.9338718108508898,0.45588235294117646,0.34304690695364476,0.9009037395615292,0.9130434782608695,0.7320359570190598,0.8413286066666638,0.25112267083423967
train,masc_c,6mBjw08qVYg,26,42,0.025355527777777775,0.02173886111111111,0.9761589329976302,0.6190476190476191,0.46813768219996377,0.8555261324374721,0.8461538461538461,0.6646841558168644,0.8351294765917521,0.31116370009914646
train,masc_c,dEofWxaL7e8,21,34,0.024838888888888893,0.02008333333333333,0.9923087159792582,0.6764705882352942,0.5084258404811939,0.8410119790406454,0.8095238095238095,0.599990134607267,0.8345435170449976,0.3050504884681244
train,qasr,E28D7397-1991-4847-8DDA-8452500CDB69,115,502,0.13549177777777782,0.12273900000000001,0.923533891076627,0.25298804780876494,0.21693296794694122,0.899833708961808,0.9304347826086956,0.8687098549854324,0.8310269265594117,0.18845180712674678
train,masc_c,8wyz6rRlGRM,24,32,0.030861111111111113,0.02693888888888889,0.9577793454130491,0.8125,0.6469050424507756,0.8540278220316395,0.875,0.6899571185214244,0.8179702083499957,0.4463367390463169
train,masc_c,wbcs4ggCD0Q,30,39,0.04057772222222221,0.03369994444444444,0.9582765400409698,0.7948717948717948,0.6446572703687137,0.8526026089054842,0.8333333333333334,0.6643529481431982,0.8170290780918517,0.42827995811140174
train,masc_c,xnXsxRVOtQU,43,63,0.05553333333333333,0.050883333333333336,0.9319869765015536,0.7142857142857143,0.5929704958526203,0.8696173203372678,0.9069767441860465,0.7839701160146731,0.8104720170945132,0.464871148426857
train,masc_c,JK9YoPhBFoA,21,33,0.029708305555555554,0.024368583333333332,0.9899021273567563,0.6666666666666666,0.49607581799949974,0.8182803986904522,0.8095238095238095,0.599990134607267,0.8100175074380134,0.29764059681692995
train,masc_c,vECdiATxIIE,44,85,0.05662777777777778,0.04931111111111111,0.9376313957301053,0.5529411764705883,0.44723871211307475,0.8621297843373296,0.8636363636363636,0.7329026247825904,0.808359952988705,0.3277824260120578
train,masc_c,NDh39T_wNEk,27,181,0.03576111111111111,0.03576111111111111,0.8256218433380127,0.16022099447513813,0.11393241437978731,0.9772224956088595,1.0,0.8754409628553642,0.8068162381759596,0.09974110254507734
train,qasr,60645756-8728-4C8F-9BD8-65E139BFE7D3,280,427,0.34521113888888866,0.2951889166666667,0.9413471543363162,0.7400468384074942,0.6964345936247087,0.8531178092912471,0.8607142857142858,0.8152564424799744,0.8030800220899476,0.5677727892184667
train,masc_c,0OUv-LIOe5Q,22,28,0.024200055555555558,0.020677833333333336,0.9725319390947168,0.8214285714285714,0.644082084514089,0.8246482865546237,0.8636363636363636,0.6666458812053,0.8019967971941039,0.42937466879944136
train,qasr,90034D30-C253-46AC-97C2-82D878ABBE09,204,505,0.24943349999999986,0.22601124999999989,0.9235151883433846,0.44356435643564357,0.40082145594794527,0.8665600692794553,0.8872549019607843,0.8365060297109271,0.8002813855914725,0.335289564737969
train,masc_c,J80VmQPdEVc,20,30,0.024100000000000003,0.021605555555555555,0.97645423412323,0.7666666666666667,0.5907132766967573,0.8160217411554186,0.85,0.6395767041130426,0.7968078842878189,0.3778064505855278
train,masc_c,8ZHJCYixUUw,36,226,0.04135861111111112,0.03951388888888888,0.8683724436495039,0.19911504424778761,0.15227247596383414,0.9174036086931463,0.9444444444444444,0.8185502589238879,0.7966480134937407,0.12464267462717793
train,masc_c,lNcis1IgBSo,40,62,0.050161111111111115,0.04466666666666667,0.9515791699290276,0.6774193548387096,0.5536785443578454,0.8312718169530854,0.875,0.7388757932976185,0.7910209455616115,0.4090996736942737
train,qasr,685676B5-AABD-4A50-A9AF-3442E09F4176,137,303,0.1873862777777778,0.16659736111111118,0.9017912841191257,0.46534653465346537,0.40996724289018105,0.8759809205560082,0.8759124087591241,0.8102535920218157,0.7899519592120564,0.3321774311630494
train,masc_c,dDsZD0LzVrI,103,362,0.19869175000000003,0.1845389722222223,0.8709960140070869,0.3259668508287293,0.27972688617007374,0.8994154188826057,0.912621359223301,0.8422209571522518,0.7833872447832639,0.2355918458113785
train,qasr,1E324127-7424-4410-835E-F6B8D4604FCF,130,355,0.16040288888888893,0.14087788888888894,0.9328883340725532,0.39436619718309857,0.34491830887243535,0.8394185416803409,0.8615384615384616,0.7917339909033763,0.7830837649377853,0.2730835492192167
train,masc_c,M4WddGEbvug,30,50,0.037000000000000005,0.03350555555555555,0.9166946609814962,0.64,0.5014076201030194,0.852570079639554,0.8666666666666667,0.7031831605558306,0.7815464401181482,0.3525813950308184
train,masc_c,s_FuQQS0-yU,20,35,0.017283333333333335,0.015488888888888885,0.8884862244129181,0.8,0.6410806339053748,0.8744892598828301,0.9,0.6989617935882066,0.7769716608029429,0.4480908697091653
train,qasr,4DBD0D76-3106-47EF-8D74-FB01E24B66E1,286,547,0.34208619444444427,0.2975917499999999,0.9381548683126489,0.5722120658135283,0.5303877486496156,0.8254408137819899,0.8426573426573427,0.7959501071592258,0.7743913179535284,0.422162185373602
train,qasr,858ED536-E96B-4F65-87A5-F2BBA2B1F847,112,282,0.1581611666666666,0.13869724999999997,0.9136532529124192,0.41843971631205673,0.36233705257152,0.8459662657312167,0.8571428571428571,0.7804840379293225,0.7729198305394981,0.2827982858824291
train,masc_c,I2XkOLUFRF8,27,35,0.035777777777777776,0.02956111111111111,0.9656914671262106,0.8,0.6410806339053748,0.7996497393835819,0.7777777777777778,0.5924270453692919,0.7722149300124231,0.37979350578803395
train,masc_c,_r558PWcKRM,26,33,0.03462222222222222,0.027394444444444443,0.9480926738335536,0.8484848484848485,0.6907978686153953,0.8116042969945388,0.8076923076923077,0.6212336384535001,0.7694760880323539,0.42914687335586493
train,masc_c,0ZeXjccLbsM,22,49,0.020088888888888885,0.017377777777777773,0.9220697988163341,0.6326530612244898,0.4926681138688987,0.8259069547903809,0.8636363636363636,0.6666458812053,0.7615438596445777,0.32843516891188507
train,qasr,AB8EA164-2625-40E6-8379-1935493DF044,98,218,0.12730563888888893,0.10670008333333333,0.905190994544905,0.4908256880733945,0.4251986723738823,0.8383456809376129,0.8469387755102041,0.762709561432064,0.7588629607003434,0.32430309292777965
train,qasr,BA1C445F-D37D-4B88-AAB4-56BA823E2B9B,32,233,0.03446666666666667,0.03071944444444445,0.8976405076682568,0.1630901287553648,0.12118633553166609,0.8440309158668242,0.875,0.7193135021517204,0.7576363398063998,0.0871709674242162
train,masc_c,L55HxYl8fFs,36,59,0.04587772222222221,0.03568883333333333,0.9602265109618505,0.6271186440677966,0.49953356682142125,0.7887403422759639,0.7777777777777778,0.6191498017214091,0.7573693869185045,0.3092861088506712
train,masc_c,TxiU20HGuMU,20,33,0.024077777777777778,0.01956111111111111,0.9862637311220169,0.6666666666666666,0.49607581799949974,0.7641407404793427,0.8,0.5839782779742402,0.7536442978074973,0.2896975019400104
train,qasr,B5E963CF-5AC1-4C24-9E25-D9AC089118B6,71,287,0.09369999999999999,0.08113055555555558,0.9149758773790279,0.2787456445993031,0.23005340429394808,0.8230755596018304,0.8450704225352113,0.7434882267163929,0.7530942822959191,0.17104199760857686
train,masc_c,d9drje-fXz4,29,41,0.027994500000000005,0.022655611111111112,0.9364715958463734,0.8048780487804879,0.6598611764744329,0.8036332436885428,0.7931034482758621,0.6160955339174229,0.7525797061922072,0.4065375238313945
train,masc_c,fajES3-TBmY,48,342,0.06638888888888886,0.059999999999999984,0.8601777913669745,0.1695906432748538,0.13353925906431546,0.8738853251561522,0.8958333333333334,0.7783231187385907,0.7516967489008294,0.10393669258897863
train,qasr,BCE7C83F-9B52-41E8-8735-8EA43FDA4C31,184,403,0.24476949999999997,0.202786111111111,0.9253747842234114,0.47890818858560796,0.4305639351620949,0.7972366557753602,0.8206521739130435,0.7588398616163569,0.737742698313118,0.32672907697539816
train,masc_c,eUDCS-T1umM,37,46,0.048400000000000006,0.03825555555555556,0.9536989798416963,0.8260869565217391,0.6927636765607748,0.7711566329439724,0.8108108108108109,0.6579498842904441,0.7354512941368239,0.45580378083378437
train,qasr,D43C04B7-E3FE-4AA1-899E-8AA7D6F4F57C,109,320,0.1410028333333334,0.1212250555555556,0.9036698374179525,0.384375,0.33274721481877495,0.8108488022645619,0.8256880733944955,0.7437283944421204,0.7327396053129581,0.2474735518322548
train,qasr,8060E3AB-A7C6-4D33-AFCC-D24EEBDDAC79,54,281,0.062408416666666675,0.05044450000000002,0.9205351527090426,0.21352313167259787,0.16963975809319862,0.790426110666616,0.8148148148148148,0.6916379770862062,0.727615020487708,0.11732929912097327
train,qasr,CEFDF773-B3E6-4EDA-A107-7C7009131D31,322,501,0.39651952777777816,0.31680005555555574,0.9467000757685359,0.7225548902195609,0.6817673343939589,0.7670065686630912,0.7763975155279503,0.7277805398551943,0.7261251766683132,0.49617699868087217
